Autor,Favs,RTs,Texto,Timestamp
Habibah_miah,0,15463,"RT @alfiexrose: okay i get that everyone is mad at james charles but he actually made a good point here, https://t.co/qkGJjXy47I",2019-05-17 12:39:24
✨ pepe silvia ✨,0,452,"RT @paupaula: Me: I’m so sick of all this James Charles drama.
Tati: Why I did it...
Me: https://t.co/2PFEo0uR7U",2019-05-17 12:39:21
Michael Huzior,2,0,"I just wanna know who listened to James Charles sing and was like “yes, we need more of this” tf???",2019-05-17 12:39:13
gee 🦋,0,23110,"RT @multistangroup: Exclusive behind the scene of James Charles apology video to Tati 

 https://t.co/UJZTcUZX03",2019-05-17 12:39:11
Farah,0,226,"RT @Zon_xo: I hope the grade boundaries drop like James Charles subscribers.
#alevels2019",2019-05-17 12:39:02
Mawi Soleta,0,0,James Charles on Tati Westbrook's doorstep at 2am to sister say sorry https://t.co/3O2B3YAHqE,2019-05-17 12:39:01
ev 💞 Minki!!,0,0,"only reason soonyoung could think of that would make him feel better, because which homosexual man would want to da… https://t.co/QH8qrE4ndp",2019-05-17 12:39:01
Jai,0,0,Willams James Charles beatdown was the most explanatory video I’ve watched so far 😂😂 I wish it’d come out aaaages w… https://t.co/JJNXK7paOk,2019-05-17 12:38:58
emily.,0,0,@lilsasquatch66 And y'all cancelled James Charles harder then this chode and for what,2019-05-17 12:38:42
ya girl a,0,313,"RT @callummarkie: yeah this may be an unpopular opinion but whatever

if you are ""cancelling"" james charles yet still support jeffree star,…",2019-05-17 12:38:39
Tom Germack,0,0,There are worlds out there.  We’re going to have a vlogger President and just have to deal with it. https://t.co/IyPp0XHwAi,2019-05-17 12:38:38
Imraan,0,0,"@JamilFarouk The lot of you should rather focus on fixing sexual predators like James Charles, instead of us😂",2019-05-17 12:38:28
stephanie2050,0,1,RT @Caroline21Y: i don’t give a damn about James Charles rn... Lia Marie Johnson is fuckin loosing her shit and it’s making me so sad to se…,2019-05-17 12:38:27
Thxisia,1,0,Why are James Charles pallets so expensive 😰💘 I want one now🤣💘,2019-05-17 12:38:25
ARYA “steek hom” STARK🌈,1,0,@jadore_thembi James Charles posted a video of sugar bear hair on his ig and it’s Tati’s (James’ mentor and ‘mom’)… https://t.co/XJexxkCjTI,2019-05-17 12:38:24
فطيم,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:38:23
ＬＥＥ ＣＨＡＮ,0,0,Watching bretman makes me think why james charles is a thing haha,2019-05-17 12:38:22
Katie A. Marshall 💕,0,76053,"RT @ataylorb30: My timeline: 
James Charles 
Abortion laws
James Charles 
Abortion laws
James Charles 
Abortion laws
Guys w the girl snap f…",2019-05-17 12:38:20
trisha,0,14546,RT @starkandspidey: james charles who?? stan bretman rock https://t.co/MmuDju87Wn,2019-05-17 12:38:19
🇯🇲Dimes💎,0,50463,"RT @jsvadd: can y’all forget about james charles and focus on bretman rock who’s actually real, talented and funny? https://t.co/QCh8TJtgZ8",2019-05-17 12:38:17
Richelle Castillo,0,0,"i don't know James Charles existed and so is he. but I want to say, he is freakn cancelledt.",2019-05-17 12:38:07
TONY FLYNN,0,211,RT @andrewzigler: James Charles starting his new job at Applebee’s after the whole Tati thing blows over https://t.co/g8LJReL8bk,2019-05-17 12:38:06
Mirian,0,0,I just had a dream that a newscaster was saying “Everyone is avoiding James Charles in fear that he’ll assault them… https://t.co/n20NDqiq6v,2019-05-17 12:38:06
blank,0,7546,RT @lileyrenard: straight guys talking to james charles https://t.co/22NiSTF0ey,2019-05-17 12:37:59
Samantha,0,58646,"RT @trashythot: in honor of this james charles scandal i’m offering everyone who retweets this $1,000 if we can get him down to 1 million s…",2019-05-17 12:37:58
fí,0,4858,RT @thelightalex: JAMES CHARLES REALLY PAID PAPARAZZI TO TAKE PHOTOS OF HIM LOOKING SAD SO THAT PEOPLE WOULD FEEL SORRY FOR HIM LMAO 😭😭😭😭😭…,2019-05-17 12:37:53
Jenn!,0,0,@emilynussbaum My 12yo daughter gets mad at me because I keep referring to James Charles as the actor Josh Charles,2019-05-17 12:37:48
𝐮𝐧𝐝𝐞𝐫𝐨𝐨𝐬,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:37:46
Test Failed AKA Agent Ink,0,643,"RT @bitemebix: who did more for the LGBT community 

rt for troye sivan’s foot
like for james charles https://t.co/uTIXTwD64t",2019-05-17 12:37:41
han,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:37:38
lol ok,0,0,Since James Charles is losing subs i regret doing him as a research project,2019-05-17 12:37:36
Carmen Stanescu,0,0,Tati Westbrook Drops New Video Addressing James Charles Drama: 'I Do Really Want the Hate to Stop' https://t.co/B0DouQs2gC via @YahooEnt,2019-05-17 12:37:27
